Zeit von [CET/CEST];Zeit bis [CET/CEST];Wind [MW];Solar [MW];Biomasse [MW];Gas [MW];Kohle [MW];Öl [MW];Geothermie [MW];Pumpspeicher [MW];Lauf- und Schwellwasser [MW];Speicher [MW];Sonstige Erneuerbare [MW];Müll [MW];Andere [MW]
06.02.2023 00:00;06.02.2023 00:15;928;0;256;1329,6;0;0;0,072;50;2456,8;292,4;0;100;22
06.02.2023 00:15;06.02.2023 00:30;968;0;256;1308,4;0;0;0,072;17,6;2415,2;222,4;0;100;22
06.02.2023 00:30;06.02.2023 00:45;1028;0;256;1297,2;0;0;0,072;-36,8;2400,8;211,2;0;100;22
06.02.2023 00:45;06.02.2023 01:00;1104;0;256;1290,8;0;0;0,072;-101,2;2381,6;219,6;0;100;22
06.02.2023 01:00;06.02.2023 01:15;1100;0;256;1288,4;0;0;0,072;-168,8;2344;205,6;0;100;22
06.02.2023 01:15;06.02.2023 01:30;1096;0;260;1286;0;0;0,072;-175,6;2323,2;164,4;0;100;22
06.02.2023 01:30;06.02.2023 01:45;1076;0;260;1300,4;0;0;0,072;-174;2322,8;177,6;0;100;22
06.02.2023 01:45;06.02.2023 02:00;1032;0;260;1311,6;0;0;0,072;-164;2298,4;169,6;0;100;22
06.02.2023 02:00;06.02.2023 02:15;1024;0;260;1324;0;0;0,072;-220,4;2308,8;160;0;100;22
06.02.2023 02:15;06.02.2023 02:30;1052;0;260;1323,2;0;0;0,072;-200,8;2303,2;152;0;100;22
06.02.2023 02:30;06.02.2023 02:45;1040;0;260;1331,6;0;0;0,072;-215,6;2294;142;0;100;22
06.02.2023 02:45;06.02.2023 03:00;1004;0;260;1335,2;0;0;0,072;-240,8;2286,8;135,6;0;100;22
06.02.2023 03:00;06.02.2023 03:15;872;0;260;1346;0;0;0,072;-466,4;2319,6;154,8;0;100;22
06.02.2023 03:15;06.02.2023 03:30;784;0;264;1354;0;0;0,072;-467,6;2323,2;127,6;0;100;22
06.02.2023 03:30;06.02.2023 03:45;748;0;264;1360;0;0;0,072;-455,2;2332,8;112,8;0;100;22
06.02.2023 03:45;06.02.2023 04:00;664;0;264;1365,6;0;0;0,072;-372;2325,6;117,6;0;100;22
06.02.2023 04:00;06.02.2023 04:15;576;0;256;1339,6;0;0;0,072;-124,8;2372,4;181,6;0;100;22
06.02.2023 04:15;06.02.2023 04:30;572;0;256;1306,4;0;0;0,072;-32,4;2376;136,8;0;100;22
06.02.2023 04:30;06.02.2023 04:45;596;0;256;1343,2;0;0;0,072;-44,4;2383,6;135,2;0;100;22
06.02.2023 04:45;06.02.2023 05:00;600;0;256;1468;0;0;0,072;-46,4;2387,2;140,4;0;100;22
06.02.2023 05:00;06.02.2023 05:15;592;0;256;1537,6;0;0;0,072;-17,6;2382,8;157,2;0;100;22
06.02.2023 05:15;06.02.2023 05:30;608;0;256;1578;0;0;0,072;-17,6;2400,4;160,4;0;100;22
06.02.2023 05:30;06.02.2023 05:45;632;0;256;1685,2;0;0;0,072;-40,4;2400;239,6;0;100;22
06.02.2023 05:45;06.02.2023 06:00;664;0;256;1774,8;0;0;0,072;11,2;2380,8;354,4;0;100;22
06.02.2023 06:00;06.02.2023 06:15;672;0;256;2038,8;0;0;0,072;330;2483,6;478,8;0;100;22
06.02.2023 06:15;06.02.2023 06:30;656;0;256;2219,2;0;0;0,072;431,6;2513,6;636,8;0;100;22
06.02.2023 06:30;06.02.2023 06:45;608;0;256;2280,8;0;0;0,072;450,8;2618,8;695,2;0;100;22
06.02.2023 06:45;06.02.2023 07:00;568;0;256;2327,2;0;0;0,072;698,8;2647,2;718;0;100;22
06.02.2023 07:00;06.02.2023 07:15;568;0;256;2255,2;0;0;0,072;2079,2;2668,8;774;0;100;22
